thk_01,thk_02,thk_03,thk_04,thk_05,thk_06,thk_07,res_01,res_02,res_03,res_04,res_05,res_06,res_07,res_08
7.52841e-01,3.18948e+00,1.27248e+01,1.85077e+01,1.33262e+01,2.22926e+01,3.31117e+01,5.62428e+01,5.73026e+01,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
5.59171e+00,3.18948e+00,1.27248e+01,1.85077e+01,1.33262e+01,2.22926e+01,3.31117e+01,5.62428e+01,5.73026e+01,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
7.52841e-01,8.47492e+00,1.27248e+01,1.85077e+01,1.33262e+01,2.22926e+01,3.31117e+01,5.62428e+01,5.73026e+01,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
7.52841e-01,3.18948e+00,8.92461e+00,1.85077e+01,1.33262e+01,2.22926e+01,3.31117e+01,5.62428e+01,5.73026e+01,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
7.52841e-01,3.18948e+00,1.27248e+01,9.47243e+00,1.33262e+01,2.22926e+01,3.31117e+01,5.62428e+01,5.73026e+01,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
7.52841e-01,3.18948e+00,1.27248e+01,1.85077e+01,1.28797e+01,2.22926e+01,3.31117e+01,5.62428e+01,5.73026e+01,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
7.52841e-01,3.18948e+00,1.27248e+01,1.85077e+01,1.33262e+01,1.86980e+01,3.31117e+01,5.62428e+01,5.73026e+01,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
7.52841e-01,3.18948e+00,1.27248e+01,1.85077e+01,1.33262e+01,2.22926e+01,4.13349e+01,5.62428e+01,5.73026e+01,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
7.52841e-01,3.18948e+00,1.27248e+01,1.85077e+01,1.33262e+01,2.22926e+01,3.31117e+01,3.03255e+01,5.73026e+01,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
7.52841e-01,3.18948e+00,1.27248e+01,1.85077e+01,1.33262e+01,2.22926e+01,3.31117e+01,5.62428e+01,1.17387e+02,1.12181e+02,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
7.52841e-01,3.18948e+00,1.27248e+01,1.85077e+01,1.33262e+01,2.22926e+01,3.31117e+01,5.62428e+01,5.73026e+01,8.87969e+01,6.72902e+01,1.03257e+02,4.01236e+01,4.47302e+01,3.31729e+01
